model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
InductiveNet,cuda,[1e-05],8,300,False,0.5333139535784721,0.4588107296824455,0.3213501870632171,0.32984108,0.1527713388204574,0.4632663837075234,0.0
InductiveNet,cuda,[1e-05],8,300,False,0.4135622131824493,0.3881129886209964,0.465458333492279,0.5002630949020386,0.2013649642467498,0.4042337745428085,1.0
InductiveNet,cuda,[9.990133642141359e-06],8,300,False,0.3433958107233048,0.3506949053704739,0.5198608636856079,0.5471993088722229,0.223437488079071,0.3863410353660583,2.0
InductiveNet,cuda,[9.960573506572391e-06],8,300,False,0.3012624378502369,0.3195219983160495,0.5974571108818054,0.617549479007721,0.2533982396125793,0.377954668700695,3.0
InductiveNet,cuda,[9.911436253643445e-06],8,300,False,0.2718170750141144,0.3003234565258026,0.6570663452148438,0.6662578582763672,0.2353259176015854,0.3485993650555611,4.0
InductiveNet,cuda,[9.842915805643156e-06],8,300,False,0.2509325274825096,0.2883962405472994,0.6636959910392761,0.6722390651702881,0.2747731506824493,0.3706074008345603,5.0
InductiveNet,cuda,[9.755282581475769e-06],8,300,False,0.2271614694595337,0.2689527838677168,0.7130070328712463,0.7192087769508362,0.2353478223085403,0.3630205217003822,6.0
InductiveNet,cuda,[9.648882429441258e-06],8,300,False,0.2103772029280662,0.2595477373898029,0.714362382888794,0.7361578941345215,0.2649899423122406,0.3756914103031158,7.0
InductiveNet,cuda,[9.524135262330098e-06],8,300,False,0.1933119948208332,0.2470489532500505,0.7278998494148254,0.7407088279724121,0.290525734424591,0.3685710224509239,8.0
InductiveNet,cuda,[9.381533400219319e-06],8,300,False,0.1806740449368953,0.240777800232172,0.7273542881011963,0.7541105151176453,0.2815925776958465,0.3697984290122985,9.0
InductiveNet,cuda,[9.221639627510076e-06],8,300,False,0.174130171239376,0.2343841527402401,0.7336524128913879,0.7594713568687439,0.3052477240562439,0.358525060415268,10.0
InductiveNet,cuda,[9.045084971874738e-06],8,300,False,0.1607194872200489,0.2319955961406231,0.7354978919029236,0.7685258984565735,0.3064877986907959,0.3599006432294845,11.0
InductiveNet,cuda,[8.852566213878947e-06],8,300,False,0.1479101006686687,0.2184183028340339,0.7489825487136841,0.7752845287322998,0.3140885829925537,0.3956442146003246,12.0
InductiveNet,cuda,[8.644843137107058e-06],8,300,False,0.1379083570092916,0.2084516282007098,0.7473019361495972,0.7726592421531677,0.3144594728946686,0.3788149327039718,13.0
InductiveNet,cuda,[8.422735529643445e-06],8,300,False,0.1310645046830177,0.2029085424542427,0.7479982972145081,0.7820248603820801,0.3147039711475372,0.4118010485172272,14.0
